rank,year,duration,age_limit,rating,numberof_ratings,Metascore,description,name
243,2017,115,15,8.1,558.0,88.0,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.," Three Billboards Outside Ebbing, Missouri"
244,1998,107,18,8.1,619.0,67.0,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."," Lock, Stock and Two Smoking Barrels"
245,1978,183,X,8.1,364.0,90.0,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania., The Deer Hunter
246,2003,131,15,8.1,219.0,82.0,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.", Memories of Murder
247,2010,98,PG,8.1,805.0,75.0,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.", How to Train Your Dragon
248,1976,120,PG,8.1,632.0,70.0,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect., Rocky
249,2019,122,15,8.1,111.0,95.0,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.", Portrait of a Lady on Fire
250,2013,134,15,8.1,744.0,96.0,"In the antebellum United States, Solomon Northup, a free Black man from upstate New York, is abducted and sold into slavery.", 12 Years a Slave
251,2008,116,15,8.1,818.0,73.0,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.", Gran Torino
252,2004,132,12A,8.1,725.0,86.0,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.", Million Dollar Baby
253,2015,129,15,8.1,504.0,93.0,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.", Spotlight
254,2009,93,U,8.1,313.0,81.0,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond grows deeper, a beautiful relationship unfolds.", Hachi: A Dog's Tale
255,1984,145,15,8.1,120.0,81.0,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."," Paris, Texas"
256,2000,98,PG,8.1,168.0,87.0,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.", In the Mood for Love
257,1988,86,U,8.1,383.0,86.0,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.", My Neighbour Totoro
258,1975,185,PG,8.1,184.0,89.0,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England., Barry Lyndon
259,2004,80,15,8.1,290.0,91.0,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.", Before Sunset
260,2014,122,15,8.1,218.0,77.0,Six short stories that explore the extremities of human behavior involving people in distress., Wild Tales
261,1962,123,PG,8.1,83.0,94.0,A senator returns to a Western town for the funeral of an old friend and tells the story of his origins., The Man Who Shot Liberty Valance
262,1979,162,PG,8.1,145.0,85.0,A guide leads two men through an area known as the Zone to find a room that grants wishes., Stalker
263,1993,133,15,8.1,188.0,84.0,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.", In the Name of the Father
264,1995,98,15,8.1,198.0,81.0,24 hours in the lives of three young men in the French suburbs the day after a violent riot., La haine
265,2016,130,PG,8.1,103.0,78.0,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.", A Silent Voice
266,1980,129,X,8.1,382.0,90.0,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.", Raging Bull
267,1999,86,PG,8.1,229.0,85.0,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy., The Iron Giant
268,1959,212,PG,8.1,255.0,90.0,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.", Ben-Hur
269,1967,127,A,8.1,189.0,92.0,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.", Cool Hand Luke
270,1954,108,PG,8.1,166.0,91.0,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.", On the Waterfront
271,1940,130,PG,8.1,147.0,86.0,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence., Rebecca
272,1949,104,PG,8.1,183.0,97.0,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.", The Third Man
273,1957,96,PG,8.1,200.0,88.0,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.", The Seventh Seal
274,1957,161,PG,8.1,234.0,88.0,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.", The Bridge on the River Kwai
275,1976,121,AA,8.1,171.0,83.0,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.", Network
276,2000,154,18,8.1,254.0,83.0,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.", Amores perros
277,1997,87,15,8.1,65.0,81.0,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995)., Neon Genesis Evangelion: The End of Evangelion
278,1946,170,U,8.1,71.0,93.0,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.", The Best Years of Our Lives
279,1940,129,PG,8.1,100.0,96.0,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.", The Grapes of Wrath
280,1973,102,PG,8.1,53.0,77.0,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.", Paper Moon
281,2004,121,12A,8.1,373.0,79.0,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.", Hotel Rwanda
282,1966,85,X,8.1,132.0,86.0,A nurse is put in charge of a mute actress and finds that their personae are melding together., Persona
283,2014,153,12A,8.1,203.0,81.0,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religious views on people., PK
284,1934,105,A,8.1,113.0,87.0,A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way., It Happened One Night
285,2009,92,12A,8.1,187.0,81.0,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome.", Mary and Max
286,1994,99,15,8.1,110.0,100.0,A model discovers a retired judge is keen on invading people's privacy., Three Colours: Red
287,1942,99,U,8.1,43.0,86.0,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.", To Be or Not to Be
288,1930,152,PG,8.1,68.0,91.0,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.", All Quiet on the Western Front
289,1953,131,PG,8.1,67.0,85.0,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.", The Wages of Fear
290,1939,129,U,8.1,122.0,73.0,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.", Mr
291,1948,135,PG,8.1,39.0,81.0,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina., The Red Shoes
292,1982,188,15,8.1,68.0,100.0,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.", Fanny and Alexander
293,2001,224,PG,8.1,121.0,84.0,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers., Lagaan: Once Upon a Time in India
294,1953,136,U,8.1,69.0,100.0,"An old couple visit their children and grandchildren in the city, but receive little attention.", Tokyo Story
295,1976,177,PG,8.1,51.0,81.0,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history., The Message
296,1969,145,AA,8.1,26.0,99.0,An account of underground resistance fighters in Nazi-occupied France., Army of Shadows
297,1957,91,PG,8.1,116.0,88.0,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.", Wild Strawberries
298,2012,117,PG,8.1,50.0,71.0,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.", Wolf Children
299,1966,121,X,8.1,66.0,96.0,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.", The Battle of Algiers
300,1955,117,X,8.1,70.0,81.0,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi., Les Diaboliques
301,1993,171,15,8.1,33.0,84.0,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and endure some of the most troublesome times in China's history., Farewell My Concubine
302,1959,99,PG,8.1,129.0,81.0,"A young boy, left without attention, delves into a life of petty crime.", The 400 Blows
303,2002,129,12A,8.1,26.0,82.0,"As the feudal Japan era draws to a close, a widower samurai experiences difficulty balancing clan loyalties, 2 young daughters, an aged mother, and the sudden reappearance of his childhood sweetheart.", The Twilight Samurai
304,2000,173,15,8.1,29.0,94.0,Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives., Yi Yi
305,1975,204,PG,8.1,59.0,81.0,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.", Sholay
306,1960,128,A,8.1,33.0,75.0,"Based on a real-life case in 1925; two great lawyers argue the case for, and against, a Tennessee science teacher accused of the crime of teaching Darwin's theory of evolution.", Inherit the Wind
307,1951,111,A,8.1,39.0,72.0,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.", Ace in the Hole
308,1958,139,PG,8.1,43.0,89.0,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.", The Hidden Fortress
309,1928,110,PG,8.1,61.0,98.0,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.", The Passion of Joan of Arc
310,1926,78,U,8.1,99.0,81.0,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.", The General
311,1927,94,A,8.1,54.0,95.0,"A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment.", Sunrise: A Song of Two Humans
312,2012,151,PG,8.1,87.0,81.0,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal., Barfi!
313,1949,114,A,8.1,36.0,89.0,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist., White Heat
314,1957,110,PG,8.1,52.0,81.0,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak., Nights of Cabiria
315,2004,117,PG-13,8.1,26.0,81.0,A young couple's enduring love is tested when 27-year-old Su-jin is diagnosed with a rare form of Alzheimer's disease., A Moment to Remember
316,1988,142,15,8.1,33.0,81.0,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.", Time of the Gypsies
317,1978,92,AA,8.1,38.0,81.0,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young.", Autumn Sonata
318,2001,183,PG,8.1,76.0,81.0,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.", Dil Chahta Hai
319,2015,163,12A,8.1,98.0,81.0,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family., Bajrangi Bhaijaan
320,2008,104,15,8.1,83.0,81.0,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday., A Wednesday
321,1991,125,PG,8.1,36.0,81.0,"China in the 1920s. After her father's death, Songlian is forced to marry the wealthy Master Chen. With three wives already, each living in a separate house, there is fierce competition for his attention and the privileges that are gained.", Raise the Red Lantern
322,1925,95,U,8.1,119.0,81.0,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.", The Gold Rush
323,1986,120,PG,8.1,28.0,81.0,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell., Jean de Florette
324,1955,118,12,8.1,37.0,97.0,"Four men plan a technically perfect crime, but the human element intervenes...", Rififi
325,1937,113,U,8.1,39.0,81.0,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.", La Grande Illusion
326,2016,136,15,8.1,48.0,81.0,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.", Pink
327,1999,174,18,8.1,27.0,81.0,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.", Sarfarosh
328,1988,87,18,8.1,26.0,81.0,"A naive inexperienced young man spies on a woman who lives across the courtyard, and falls in love with her. He starts using tricks which he hopes will lead to them meeting.", A Short Film About Love
329,1996,128,15,8.1,72.0,81.0,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.", The Bandit
330,2013,87,15,8.1,49.0,73.0,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man, Ivo, has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.", Tangerines
331,2012,125,PG,8.1,66.0,81.0,A shopkeeper takes God to court when his shop is destroyed by an earthquake., OMG: Oh My God!
332,2012,122,15,8.1,66.0,81.0,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.", Kahaani
333,2003,156,PG,8.1,89.0,81.0,A gangster sets out to fulfill his father's dream of becoming a doctor., Munna Bhai M
334,1961,91,X,8.1,26.0,81.0,"Viridiana, a young nun about to take her final vows, pays a visit to her widowed uncle at the request of her Mother Superior.", Viridiana
335,2007,153,PG,8.1,85.0,68.0,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.", Chak De! India
336,2015,109,Not Rated,8.1,32.0,81.0,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies.", Masaan
337,2006,167,15,8.1,123.0,81.0,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.", Rang De Basanti
338,2013,146,15,8.1,69.0,81.0,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled., Queen
339,2019,130,15,8.1,37.0,81.0,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.", Article 15
340,2005,122,12A,8.1,36.0,81.0,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world.", Black
341,1928,72,U,8.1,36.0,90.0,The Tramp finds work and the girl of his dreams at a circus., The Circus
342,2010,134,Not Rated,8.1,48.0,81.0,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.", Udaan
343,2015,132,15,8.1,39.0,81.0,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide., Talvar
344,1998,107,Not Rated,8.1,28.0,81.0,"When Altan swipes prescription drugs from his brother Nuri's pharmacy, they soon find themselves on a dangerous but funny road trip to get rid of the stuff and escape the mafiosi Altan tried to double-cross. Along the way, the brother who are compete opposites finally bond.", Her Sey Ã‡ok GÃ¼zel Olacak
345,1971,122,U,8.1,35.0,81.0,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.", Anand
346,2021,155,12A,8.0,879.0,74.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future., Dune: Part One
347,2016,108,15,8.0,1.1,65.0,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.", Deadpool
348,2017,164,15,8.0,672.0,81.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.", Blade Runner 2049
349,1987,98,PG,8.0,453.0,78.0,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.", The Princess Bride
350,2001,113,15,8.0,854.0,88.0,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.", Donnie Darko
351,2013,126,15,8.0,675.0,91.0,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.", Her
352,2016,128,12A,8.0,678.0,94.0,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.", La La Land
353,1968,112,PG,8.0,198.0,79.0,An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved., Planet of the Apes
354,2014,121,12A,8.0,1.3,76.0,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe., Guardians of the Galaxy
355,2015,144,12A,8.0,931.0,80.0,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.", The Martian
356,2010,108,15,8.0,829.0,79.0,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.", Black Swan
357,2015,156,15,8.0,879.0,76.0,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team., The Revenant
358,2006,144,15,8.0,697.0,80.0,"After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.", Casino Royale
359,2014,114,12A,8.0,829.0,71.0,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.", The Imitation Game
360,2004,115,U,8.0,814.0,90.0,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.", The Incredibles
361,2012,143,12A,8.0,1.5,69.0,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity., Avengers Assemble
362,2016,108,PG,8.0,550.0,78.0,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.", Zootropolis
363,1967,106,X,8.0,289.0,83.0,A disillusioned college graduate finds himself torn between his older lover and her daughter., The Graduate
364,1974,106,PG,8.0,170.0,83.0,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.", Young Frankenstein
365,2005,124,18,8.0,795.0,74.0,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.", Sin City
366,1968,137,18,8.0,237.0,96.0,"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.", Rosemary's Baby
367,2004,137,18,8.0,810.0,83.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.", Kill Bill: Vol
368,2006,117,12A,8.0,565.0,64.0,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career., The Pursuit of Happyness
369,1975,125,X,8.0,274.0,86.0,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.", Dog Day Afternoon
370,1990,181,PG,8.0,293.0,72.0,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.", Dances with Wolves
371,1999,188,18,8.0,330.0,78.0,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley.", Magnolia
372,2020,100,PG,8.0,383.0,83.0,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.", Soul
373,2021,111,12A,8.0,166.0,72.0,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.", CODA
374,2003,125,PG,8.0,460.0,58.0,A frustrated son tries to determine the fact from fiction in his dying father's life., Big Fish
375,2006,143,15,8.0,589.0,64.0,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.", Blood Diamond
376,1992,90,U,8.0,470.0,86.0,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true., Aladdin
377,1995,129,15,8.0,649.0,75.0,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.", Twelve Monkeys
378,1988,133,15,8.0,549.0,65.0,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.", Rain Man
379,1992,156,15,8.0,331.0,57.0,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.", Scent of a Woman
380,1997,81,18,8.0,97.0,67.0,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.", Perfect Blue
381,1993,101,PG,8.0,688.0,72.0,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.", Groundhog Day
382,1991,84,U,8.0,481.0,95.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love., Beauty and the Beast
383,1955,92,X,8.0,98.0,97.0,"A self-proclaimed preacher marries a gullible widow whose young children are reluctant to tell him where their real dad hid the $10,000 he'd stolen in a robbery.", The Night of the Hunter
384,2008,120,15,8.0,880.0,84.0,"A teenager from the slums of Mumbai becomes a contestant on the show 'Kaun Banega Crorepati?' When interrogated under suspicion of cheating, he revisits his past, revealing how he had all the answers.", Slumdog Millionaire
385,1989,120,18,8.0,113.0,93.0,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.", Do the Right Thing
386,2010,118,15,8.0,710.0,88.0,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.", The King's Speech
387,2016,106,15,8.0,194.0,81.0,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense., The Invisible Guest
388,2016,118,PG,8.0,252.0,69.0,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.", Lion
389,2003,178,15,8.0,159.0,61.0,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.", Dogville
390,1988,124,12,8.0,207.0,68.0,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.", Akira
391,2007,115,12A,8.0,660.0,85.0,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer., The Bourne Ultimatum
392,1969,110,PG,8.0,227.0,66.0,"In 1890s Wyoming, Butch Cassidy and The Sundance Kid lead a band of outlaws. When a train robbery goes wrong, they find themselves on the run with a posse hard on their heels. After considering their options, they escape to South America.", Butch Cassidy and the Sundance Kid
393,1973,151,15,8.0,139.0,58.0,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape.", Papillon
394,1991,189,15,8.0,171.0,72.0,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story., JFK
395,1996,135,15,8.0,99.0,85.0,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.", Sling Blade
396,1994,102,12,8.0,97.0,78.0,"Two melancholic Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.", Chungking Express
397,1959,161,X,8.0,72.0,95.0,"An upstate Michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. What is the truth, and will he win his case?", Anatomy of a Murder
398,1962,134,18,8.0,62.0,75.0,A former child star torments her paraplegic sister in their decaying Hollywood mansion., What Ever Happened to Baby Jane?
399,1979,94,AA,8.0,423.0,77.0,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.", Life of Brian
400,1977,93,AA,8.0,279.0,92.0,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages.", Annie Hall
401,1971,118,X,8.0,53.0,93.0,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.", The Last Picture Show
402,1953,118,Approved,8.0,148.0,78.0,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome., Roman Holiday
403,2008,106,15,8.0,234.0,59.0,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.", Ip Man
404,1984,117,Not Rated,8.0,184.0,86.0,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet., NausicaÃ¤ of the Valley of the Wind
405,1982,191,PG,8.0,241.0,79.0,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest., Gandhi
406,1971,181,U,8.0,48.0,67.0,"In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village.", Fiddler on the Roof
407,1963,138,A,8.0,126.0,93.0,A harried movie director retreats into his memories and fantasies., Federico Fellini's 8Â½
408,1967,105,PG,8.0,58.0,90.0,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner., Le SamouraÃ¯
409,1959,141,PG,8.0,68.0,93.0,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.", Rio Bravo
410,1952,85,U,8.0,111.0,89.0,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train.", High Noon
411,2005,144,12A,8.0,199.0,69.0,"The true story of James J. Braddock, a supposedly washed-up boxer, who returned to the spotlight to win the heavyweight championship of the world.", Cinderella Man
412,1986,125,PG,8.0,184.0,78.0,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle., Laputa: Castle in the Sky
413,2014,139,15,8.0,62.0,74.0,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.", Mommy
414,1954,108,PG,8.0,67.0,81.0,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.", La Strada
